,"Date of
Purchase",Name of the Purchaser,"Bond
Number",Denominations,Name of the Political Party
0,12-04-2019,A B C INDIA LIMITED,11448,1000000,BHARATIYA JANATA PARTY
1,12-04-2019,A B C INDIA LIMITED,11447,1000000,BHARATIYA JANATA PARTY
2,12-04-2019,A B C INDIA LIMITED,11441,1000000,BHARATIYA JANATA PARTY
3,12-04-2019,A B C INDIA LIMITED,1113,100000,BHARATIYA JANATA PARTY
4,12-04-2019,A B C INDIA LIMITED,1118,100000,BHARATIYA JANATA PARTY
5,12-04-2019,A B C INDIA LIMITED,1112,100000,BHARATIYA JANATA PARTY
6,12-04-2019,A B C INDIA LIMITED,1115,100000,BHARATIYA JANATA PARTY
7,12-04-2019,A B C INDIA LIMITED,1119,100000,BHARATIYA JANATA PARTY
8,12-04-2019,A B C INDIA LIMITED,1110,100000,BHARATIYA JANATA PARTY
9,12-04-2019,A B C INDIA LIMITED,1111,100000,BHARATIYA JANATA PARTY
10,12-04-2019,A B C INDIA LIMITED,1106,100000,BHARATIYA JANATA PARTY
11,12-04-2019,A B C INDIA LIMITED,1114,100000,BHARATIYA JANATA PARTY
12,12-04-2019,A B C INDIA LIMITED,1117,100000,BHARATIYA JANATA PARTY
13,12-04-2019,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,11556,1000000,ALL INDIA TRINAMOOL CONGRESS
14,12-04-2019,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,11555,1000000,ALL INDIA TRINAMOOL CONGRESS
15,12-04-2019,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,1125,100000,ALL INDIA TRINAMOOL CONGRESS
16,12-04-2019,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,1129,100000,ALL INDIA TRINAMOOL CONGRESS
17,12-04-2019,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,1124,100000,ALL INDIA TRINAMOOL CONGRESS
18,12-04-2019,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,1128,100000,ALL INDIA TRINAMOOL CONGRESS
19,12-04-2019,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,1126,100000,ALL INDIA TRINAMOOL CONGRESS
20,12-04-2019,ARIHANT ENTERPRISES,11551,1000000,BHARATIYA JANATA PARTY
21,12-04-2019,ARIHANT ENTERPRISES,11554,1000000,BHARATIYA JANATA PARTY
22,12-04-2019,ARIHANT ENTERPRISES,11553,1000000,BHARATIYA JANATA PARTY
23,12-04-2019,ARIHANT ENTERPRISES,11552,1000000,BHARATIYA JANATA PARTY
24,12-04-2019,CHOUDHARY GARMENTS,12904,1000000,BHARATIYA JANATA PARTY
25,12-04-2019,CHOUDHARY GARMENTS,12902,1000000,BHARATIYA JANATA PARTY
26,12-04-2019,ESSEL MINING AND INDS LTD,6297,10000000,BHARATIYA JANATA PARTY
27,12-04-2019,ESSEL MINING AND INDS LTD,6275,10000000,BHARATIYA JANATA PARTY
28,12-04-2019,ESSEL MINING AND INDS LTD,6261,10000000,BHARATIYA JANATA PARTY
29,12-04-2019,ESSEL MINING AND INDS LTD,6278,10000000,BHARATIYA JANATA PARTY
30,12-04-2019,ESSEL MINING AND INDS LTD,6262,10000000,BHARATIYA JANATA PARTY
31,12-04-2019,ESSEL MINING AND INDS LTD,6274,10000000,BHARATIYA JANATA PARTY
32,12-04-2019,ESSEL MINING AND INDS LTD,6257,10000000,BHARATIYA JANATA PARTY
33,12-04-2019,ESSEL MINING AND INDS LTD,6273,10000000,BHARATIYA JANATA PARTY
34,12-04-2019,ESSEL MINING AND INDS LTD,6272,10000000,BHARATIYA JANATA PARTY
35,12-04-2019,ESSEL MINING AND INDS LTD,6280,10000000,BHARATIYA JANATA PARTY
36,12-04-2019,ESSEL MINING AND INDS LTD,6251,10000000,BHARATIYA JANATA PARTY
37,12-04-2019,ESSEL MINING AND INDS LTD,4597,10000000,BHARATIYA JANATA PARTY
38,12-04-2019,ESSEL MINING AND INDS LTD,6279,10000000,BHARATIYA JANATA PARTY
39,12-04-2019,ESSEL MINING AND INDS LTD,6296,10000000,BHARATIYA JANATA PARTY
40,12-04-2019,ESSEL MINING AND INDS LTD,6256,10000000,BHARATIYA JANATA PARTY
41,12-04-2019,ESSEL MINING AND INDS LTD,6286,10000000,BHARATIYA JANATA PARTY
42,12-04-2019,ESSEL MINING AND INDS LTD,6298,10000000,BHARATIYA JANATA PARTY
43,12-04-2019,ESSEL MINING AND INDS LTD,6267,10000000,BHARATIYA JANATA PARTY
44,12-04-2019,ESSEL MINING AND INDS LTD,4632,10000000,BHARATIYA JANATA PARTY
45,12-04-2019,ESSEL MINING AND INDS LTD,6284,10000000,BHARATIYA JANATA PARTY
46,12-04-2019,ESSEL MINING AND INDS LTD,6254,10000000,BHARATIYA JANATA PARTY
47,12-04-2019,ESSEL MINING AND INDS LTD,6292,10000000,BHARATIYA JANATA PARTY
48,12-04-2019,ESSEL MINING AND INDS LTD,6268,10000000,BHARATIYA JANATA PARTY
49,12-04-2019,ESSEL MINING AND INDS LTD,6258,10000000,BHARATIYA JANATA PARTY
50,12-04-2019,ESSEL MINING AND INDS LTD,6253,10000000,BHARATIYA JANATA PARTY
51,12-04-2019,ESSEL MINING AND INDS LTD,6293,10000000,BHARATIYA JANATA PARTY
52,12-04-2019,ESSEL MINING AND INDS LTD,6281,10000000,BHARATIYA JANATA PARTY
53,12-04-2019,ESSEL MINING AND INDS LTD,6264,10000000,BHARATIYA JANATA PARTY
54,12-04-2019,ESSEL MINING AND INDS LTD,6288,10000000,BHARATIYA JANATA PARTY
55,12-04-2019,ESSEL MINING AND INDS LTD,6300,10000000,BHARATIYA JANATA PARTY
56,12-04-2019,ESSEL MINING AND INDS LTD,6269,10000000,BHARATIYA JANATA PARTY
57,12-04-2019,ESSEL MINING AND INDS LTD,4598,10000000,BHARATIYA JANATA PARTY
58,12-04-2019,ESSEL MINING AND INDS LTD,6263,10000000,BHARATIYA JANATA PARTY
59,12-04-2019,ESSEL MINING AND INDS LTD,6270,10000000,BHARATIYA JANATA PARTY
60,12-04-2019,ESSEL MINING AND INDS LTD,6283,10000000,BHARATIYA JANATA PARTY
61,12-04-2019,ESSEL MINING AND INDS LTD,6299,10000000,BHARATIYA JANATA PARTY
62,12-04-2019,ESSEL MINING AND INDS LTD,6271,10000000,BHARATIYA JANATA PARTY
63,12-04-2019,ESSEL MINING AND INDS LTD,6252,10000000,BHARATIYA JANATA PARTY
64,12-04-2019,ESSEL MINING AND INDS LTD,6282,10000000,BHARATIYA JANATA PARTY
65,12-04-2019,ESSEL MINING AND INDS LTD,6259,10000000,BHARATIYA JANATA PARTY
66,12-04-2019,ESSEL MINING AND INDS LTD,6295,10000000,BHARATIYA JANATA PARTY
67,12-04-2019,ESSEL MINING AND INDS LTD,6260,10000000,BHARATIYA JANATA PARTY
68,12-04-2019,ESSEL MINING AND INDS LTD,6255,10000000,BHARATIYA JANATA PARTY
69,12-04-2019,ESSEL MINING AND INDS LTD,6265,10000000,BHARATIYA JANATA PARTY
70,12-04-2019,ESSEL MINING AND INDS LTD,6285,10000000,BHARATIYA JANATA PARTY
71,12-04-2019,ESSEL MINING AND INDS LTD,6289,10000000,BHARATIYA JANATA PARTY
72,12-04-2019,ESSEL MINING AND INDS LTD,6291,10000000,BHARATIYA JANATA PARTY
73,12-04-2019,ESSEL MINING AND INDS LTD,6294,10000000,BHARATIYA JANATA PARTY
74,12-04-2019,ESSEL MINING AND INDS LTD,6287,10000000,BHARATIYA JANATA PARTY
75,12-04-2019,ESSEL MINING AND INDS LTD,11440,1000000,BHARATIYA JANATA PARTY
76,12-04-2019,ESSEL MINING AND INDS LTD,11437,1000000,BHARATIYA JANATA PARTY
77,12-04-2019,ESSEL MINING AND INDS LTD,11439,1000000,BHARATIYA JANATA PARTY
78,12-04-2019,ESSEL MINING AND INDS LTD,11445,1000000,BHARATIYA JANATA PARTY
79,12-04-2019,ESSEL MINING AND INDS LTD,11438,1000000,BHARATIYA JANATA PARTY
80,12-04-2019,ESSEL MINING AND INDS LTD,11432,1000000,BHARATIYA JANATA PARTY
81,12-04-2019,ESSEL MINING AND INDS LTD,11444,1000000,BHARATIYA JANATA PARTY
82,12-04-2019,ESSEL MINING AND INDS LTD,11443,1000000,BHARATIYA JANATA PARTY
83,12-04-2019,ESSEL MINING AND INDS LTD,11446,1000000,BHARATIYA JANATA PARTY
84,12-04-2019,ESSEL MINING AND INDS LTD,11442,1000000,BHARATIYA JANATA PARTY
85,12-04-2019,GRASIM INDUSTRIES LTD,7045,10000000,BHARATIYA JANATA PARTY
86,12-04-2019,GRASIM INDUSTRIES LTD,7041,10000000,BHARATIYA JANATA PARTY
87,12-04-2019,GRASIM INDUSTRIES LTD,7025,10000000,BHARATIYA JANATA PARTY
88,12-04-2019,GRASIM INDUSTRIES LTD,7051,10000000,BHARATIYA JANATA PARTY
89,12-04-2019,GRASIM INDUSTRIES LTD,7035,10000000,BHARATIYA JANATA PARTY
90,12-04-2019,GRASIM INDUSTRIES LTD,7059,10000000,BHARATIYA JANATA PARTY
91,12-04-2019,GRASIM INDUSTRIES LTD,7037,10000000,BHARATIYA JANATA PARTY
92,12-04-2019,GRASIM INDUSTRIES LTD,7033,10000000,BHARATIYA JANATA PARTY
93,12-04-2019,GRASIM INDUSTRIES LTD,7053,10000000,BHARATIYA JANATA PARTY
94,12-04-2019,GRASIM INDUSTRIES LTD,7061,10000000,BHARATIYA JANATA PARTY
95,12-04-2019,GRASIM INDUSTRIES LTD,7029,10000000,BHARATIYA JANATA PARTY
96,12-04-2019,GRASIM INDUSTRIES LTD,7049,10000000,BHARATIYA JANATA PARTY
97,12-04-2019,GRASIM INDUSTRIES LTD,7057,10000000,BHARATIYA JANATA PARTY
98,12-04-2019,GRASIM INDUSTRIES LTD,7043,10000000,BHARATIYA JANATA PARTY
99,12-04-2019,GRASIM INDUSTRIES LTD,7039,10000000,BHARATIYA JANATA PARTY
100,12-04-2019,GRASIM INDUSTRIES LTD,7047,10000000,BHARATIYA JANATA PARTY
101,12-04-2019,GRASIM INDUSTRIES LTD,7027,10000000,BHARATIYA JANATA PARTY
102,12-04-2019,GRASIM INDUSTRIES LTD,7055,10000000,BHARATIYA JANATA PARTY
103,12-04-2019,GRASIM INDUSTRIES LTD,7031,10000000,BHARATIYA JANATA PARTY
104,12-04-2019,GRASIM INDUSTRIES LTD,7023,10000000,BHARATIYA JANATA PARTY
105,12-04-2019,HIGHSTREET CRUISES AND ENTERTAINMENT PVT LTD,3410,1000000,BHARATIYA JANATA PARTY
106,12-04-2019,HIGHSTREET CRUISES AND ENTERTAINMENT PVT LTD,3407,1000000,BHARATIYA JANATA PARTY
107,12-04-2019,HIGHSTREET CRUISES AND ENTERTAINMENT PVT LTD,3412,1000000,BHARATIYA JANATA PARTY
108,12-04-2019,INNOCENT MERCHANDISE PVT LTD,11557,1000000,ALL INDIA TRINAMOOL CONGRESS
109,12-04-2019,INNOCENT MERCHANDISE PVT LTD,11558,1000000,ALL INDIA TRINAMOOL CONGRESS
110,12-04-2019,INNOCENT MERCHANDISE PVT LTD,1133,100000,ALL INDIA TRINAMOOL CONGRESS
111,12-04-2019,INNOCENT MERCHANDISE PVT LTD,1127,100000,ALL INDIA TRINAMOOL CONGRESS
112,12-04-2019,INNOCENT MERCHANDISE PVT LTD,1131,100000,ALL INDIA TRINAMOOL CONGRESS
113,12-04-2019,INNOCENT MERCHANDISE PVT LTD,1130,100000,ALL INDIA TRINAMOOL CONGRESS
114,12-04-2019,INNOCENT MERCHANDISE PVT LTD,1132,100000,ALL INDIA TRINAMOOL CONGRESS
115,12-04-2019,KAMLANG SAW & VENEER MILLS PVT LTD,2344,1000000,BHARATIYA JANATA PARTY
116,12-04-2019,KAMLANG SAW & VENEER MILLS PVT LTD,2341,1000000,BHARATIYA JANATA PARTY
117,12-04-2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,5485,10000000,BHARATIYA JANATA PARTY
118,12-04-2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,5465,10000000,BHARATIYA JANATA PARTY
119,12-04-2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,5497,10000000,BHARATIYA JANATA PARTY
120,12-04-2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,5510,10000000,BHARATIYA JANATA PARTY
121,12-04-2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,5484,10000000,BHARATIYA JANATA PARTY
122,12-04-2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,5522,10000000,BHARATIYA JANATA PARTY
123,12-04-2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,5490,10000000,BHARATIYA JANATA PARTY
124,12-04-2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,5496,10000000,BHARATIYA JANATA PARTY
125,12-04-2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,5456,10000000,BHARATIYA JANATA PARTY
126,12-04-2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,5469,10000000,BHARATIYA JANATA PARTY
127,12-04-2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,5495,10000000,BHARATIYA JANATA PARTY
128,12-04-2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,5503,10000000,BHARATIYA JANATA PARTY
129,12-04-2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,5486,10000000,BHARATIYA JANATA PARTY
130,12-04-2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,5482,10000000,BHARATIYA JANATA PARTY
131,12-04-2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,5502,10000000,BHARATIYA JANATA PARTY
132,12-04-2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,5500,10000000,BHARATIYA JANATA PARTY
133,12-04-2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,5483,10000000,BHARATIYA JANATA PARTY
134,12-04-2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,5479,10000000,BHARATIYA JANATA PARTY
135,12-04-2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,5473,10000000,BHARATIYA JANATA PARTY
136,12-04-2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,5518,10000000,BHARATIYA JANATA PARTY
137,12-04-2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,5476,10000000,BHARATIYA JANATA PARTY
138,12-04-2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,5501,10000000,BHARATIYA JANATA PARTY
139,12-04-2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,5489,10000000,BHARATIYA JANATA PARTY
140,12-04-2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,5487,10000000,BHARATIYA JANATA PARTY
141,12-04-2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,5499,10000000,BHARATIYA JANATA PARTY
142,12-04-2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,5452,10000000,BHARATIYA JANATA PARTY
143,12-04-2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,5480,10000000,BHARATIYA JANATA PARTY
144,12-04-2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,5494,10000000,BHARATIYA JANATA PARTY
145,12-04-2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,5516,10000000,BHARATIYA JANATA PARTY
146,12-04-2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,5520,10000000,BHARATIYA JANATA PARTY
147,12-04-2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,5506,10000000,BHARATIYA JANATA PARTY
148,12-04-2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,5511,10000000,BHARATIYA JANATA PARTY
149,12-04-2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,5507,10000000,BHARATIYA JANATA PARTY
150,12-04-2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,5505,10000000,BHARATIYA JANATA PARTY
151,12-04-2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,5512,10000000,BHARATIYA JANATA PARTY
152,12-04-2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,5504,10000000,BHARATIYA JANATA PARTY
153,12-04-2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,5508,10000000,BHARATIYA JANATA PARTY
154,12-04-2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,5493,10000000,BHARATIYA JANATA PARTY
155,12-04-2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,5514,10000000,BHARATIYA JANATA PARTY
156,12-04-2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,5478,10000000,BHARATIYA JANATA PARTY
157,12-04-2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,5498,10000000,BHARATIYA JANATA PARTY
158,12-04-2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,5524,10000000,BHARATIYA JANATA PARTY
159,12-04-2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,5488,10000000,BHARATIYA JANATA PARTY
160,12-04-2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,5477,10000000,BHARATIYA JANATA PARTY
161,12-04-2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,5492,10000000,BHARATIYA JANATA PARTY
162,12-04-2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,5491,10000000,BHARATIYA JANATA PARTY
163,12-04-2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,5513,10000000,BHARATIYA JANATA PARTY
164,12-04-2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,5461,10000000,BHARATIYA JANATA PARTY
165,12-04-2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,5509,10000000,BHARATIYA JANATA PARTY
166,12-04-2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,5481,10000000,BHARATIYA JANATA PARTY
167,12-04-2019,MERLIN RECREATION PVT LTD,11450,1000000,ALL INDIA TRINAMOOL CONGRESS
168,12-04-2019,MERLIN RECREATION PVT LTD,11449,1000000,ALL INDIA TRINAMOOL CONGRESS
169,12-04-2019,MERLIN RECREATION PVT LTD,1121,100000,ALL INDIA TRINAMOOL CONGRESS
170,12-04-2019,MERLIN RECREATION PVT LTD,1120,100000,ALL INDIA TRINAMOOL CONGRESS
171,12-04-2019,MERLIN RECREATION PVT LTD,1123,100000,ALL INDIA TRINAMOOL CONGRESS
172,12-04-2019,MERLIN RECREATION PVT LTD,1116,100000,ALL INDIA TRINAMOOL CONGRESS
173,12-04-2019,MERLIN RECREATION PVT LTD,1122,100000,ALL INDIA TRINAMOOL CONGRESS
174,12-04-2019,MSPL LTD,588,10000000,BHARATIYA JANATA PARTY
175,12-04-2019,MYRIAD DEVELOPERS,2357,1000000,BHARATIYA JANATA PARTY
176,12-04-2019,MYRIAD DEVELOPERS,10036,100000,BHARATIYA JANATA PARTY
177,12-04-2019,MYRIAD DEVELOPERS,10032,100000,BHARATIYA JANATA PARTY
178,12-04-2019,MYRIAD DEVELOPERS,10038,100000,BHARATIYA JANATA PARTY
179,12-04-2019,MYRIAD DEVELOPERS,10034,100000,BHARATIYA JANATA PARTY
180,12-04-2019,MYRIAD DEVELOPERS,10030,100000,BHARATIYA JANATA PARTY
181,12-04-2019,OMKAR VENTURES PVT LTD,7070,10000000,BHARATIYA JANATA PARTY
182,12-04-2019,OMKAR VENTURES PVT LTD,7066,10000000,BHARATIYA JANATA PARTY
183,12-04-2019,OMKAR VENTURES PVT LTD,7068,10000000,BHARATIYA JANATA PARTY
184,12-04-2019,OMKAR VENTURES PVT LTD,7064,10000000,BHARATIYA JANATA PARTY
185,12-04-2019,PATEL HIGHWAY MANAGEMENT PVT LTD,2855,10000000,BHARATIYA JANATA PARTY
186,12-04-2019,PHL FINIVEST PVT LTD,7018,10000000,BHARATIYA JANATA PARTY
187,12-04-2019,PHL FINIVEST PVT LTD,7052,10000000,BHARATIYA JANATA PARTY
188,12-04-2019,PHL FINIVEST PVT LTD,6678,10000000,BHARATIYA JANATA PARTY
189,12-04-2019,PHL FINIVEST PVT LTD,6684,10000000,BHARATIYA JANATA PARTY
190,12-04-2019,PHL FINIVEST PVT LTD,7002,10000000,BHARATIYA JANATA PARTY
191,12-04-2019,PHL FINIVEST PVT LTD,7048,10000000,BHARATIYA JANATA PARTY
192,12-04-2019,PHL FINIVEST PVT LTD,7020,10000000,BHARATIYA JANATA PARTY
193,12-04-2019,PHL FINIVEST PVT LTD,7008,10000000,BHARATIYA JANATA PARTY
194,12-04-2019,PHL FINIVEST PVT LTD,6694,10000000,BHARATIYA JANATA PARTY
195,12-04-2019,PHL FINIVEST PVT LTD,7024,10000000,BHARATIYA JANATA PARTY
196,12-04-2019,PHL FINIVEST PVT LTD,7006,10000000,BHARATIYA JANATA PARTY
197,12-04-2019,PHL FINIVEST PVT LTD,7026,10000000,BHARATIYA JANATA PARTY
198,12-04-2019,PHL FINIVEST PVT LTD,7028,10000000,BHARATIYA JANATA PARTY
199,12-04-2019,PHL FINIVEST PVT LTD,6690,10000000,BHARATIYA JANATA PARTY
200,12-04-2019,PHL FINIVEST PVT LTD,6700,10000000,BHARATIYA JANATA PARTY
201,12-04-2019,PHL FINIVEST PVT LTD,7044,10000000,BHARATIYA JANATA PARTY
202,12-04-2019,PHL FINIVEST PVT LTD,6698,10000000,BHARATIYA JANATA PARTY
203,12-04-2019,PHL FINIVEST PVT LTD,7022,10000000,BHARATIYA JANATA PARTY
204,12-04-2019,PHL FINIVEST PVT LTD,6674,10000000,BHARATIYA JANATA PARTY
205,12-04-2019,PHL FINIVEST PVT LTD,7004,10000000,BHARATIYA JANATA PARTY
206,12-04-2019,PHL FINIVEST PVT LTD,7030,10000000,BHARATIYA JANATA PARTY
207,12-04-2019,PHL FINIVEST PVT LTD,6688,10000000,BHARATIYA JANATA PARTY
208,12-04-2019,PHL FINIVEST PVT LTD,7046,10000000,BHARATIYA JANATA PARTY
209,12-04-2019,PHL FINIVEST PVT LTD,7014,10000000,BHARATIYA JANATA PARTY
210,12-04-2019,PHL FINIVEST PVT LTD,6682,10000000,BHARATIYA JANATA PARTY
211,12-04-2019,PHL FINIVEST PVT LTD,7036,10000000,BHARATIYA JANATA PARTY
212,12-04-2019,PHL FINIVEST PVT LTD,7050,10000000,BHARATIYA JANATA PARTY
213,12-04-2019,PHL FINIVEST PVT LTD,6692,10000000,BHARATIYA JANATA PARTY
214,12-04-2019,PHL FINIVEST PVT LTD,7038,10000000,BHARATIYA JANATA PARTY
215,12-04-2019,PHL FINIVEST PVT LTD,7010,10000000,BHARATIYA JANATA PARTY
216,12-04-2019,PHL FINIVEST PVT LTD,7012,10000000,BHARATIYA JANATA PARTY
217,12-04-2019,PHL FINIVEST PVT LTD,6676,10000000,BHARATIYA JANATA PARTY
218,12-04-2019,PHL FINIVEST PVT LTD,7034,10000000,BHARATIYA JANATA PARTY
219,12-04-2019,PHL FINIVEST PVT LTD,6686,10000000,BHARATIYA JANATA PARTY
220,12-04-2019,PHL FINIVEST PVT LTD,6680,10000000,BHARATIYA JANATA PARTY
221,12-04-2019,PHL FINIVEST PVT LTD,7032,10000000,BHARATIYA JANATA PARTY
222,12-04-2019,PHL FINIVEST PVT LTD,7040,10000000,BHARATIYA JANATA PARTY
223,12-04-2019,PHL FINIVEST PVT LTD,7016,10000000,BHARATIYA JANATA PARTY
224,12-04-2019,PHL FINIVEST PVT LTD,6696,10000000,BHARATIYA JANATA PARTY
225,12-04-2019,PHL FINIVEST PVT LTD,7042,10000000,BHARATIYA JANATA PARTY
226,12-04-2019,PIRAMAL CAPITAL AND HOUSING FINANCE LTD,6699,10000000,BHARATIYA JANATA PARTY
227,12-04-2019,PIRAMAL CAPITAL AND HOUSING FINANCE LTD,6683,10000000,BHARATIYA JANATA PARTY
228,12-04-2019,PIRAMAL CAPITAL AND HOUSING FINANCE LTD,6687,10000000,BHARATIYA JANATA PARTY
229,12-04-2019,PIRAMAL CAPITAL AND HOUSING FINANCE LTD,6695,10000000,BHARATIYA JANATA PARTY
230,12-04-2019,PIRAMAL CAPITAL AND HOUSING FINANCE LTD,7001,10000000,BHARATIYA JANATA PARTY
231,12-04-2019,PIRAMAL CAPITAL AND HOUSING FINANCE LTD,6697,10000000,BHARATIYA JANATA PARTY
232,12-04-2019,PIRAMAL CAPITAL AND HOUSING FINANCE LTD,6691,10000000,BHARATIYA JANATA PARTY
233,12-04-2019,PIRAMAL CAPITAL AND HOUSING FINANCE LTD,6693,10000000,BHARATIYA JANATA PARTY
234,12-04-2019,PIRAMAL CAPITAL AND HOUSING FINANCE LTD,6685,10000000,BHARATIYA JANATA PARTY
235,12-04-2019,PIRAMAL CAPITAL AND HOUSING FINANCE LTD,6689,10000000,BHARATIYA JANATA PARTY
236,12-04-2019,PIRAMAL ENTERPRISES LTD,7007,10000000,BHARATIYA JANATA PARTY
237,12-04-2019,PIRAMAL ENTERPRISES LTD,7005,10000000,BHARATIYA JANATA PARTY
238,12-04-2019,PIRAMAL ENTERPRISES LTD,7015,10000000,BHARATIYA JANATA PARTY
239,12-04-2019,PIRAMAL ENTERPRISES LTD,7013,10000000,BHARATIYA JANATA PARTY
240,12-04-2019,PIRAMAL ENTERPRISES LTD,7019,10000000,BHARATIYA JANATA PARTY
241,12-04-2019,PIRAMAL ENTERPRISES LTD,7011,10000000,BHARATIYA JANATA PARTY
242,12-04-2019,PIRAMAL ENTERPRISES LTD,7021,10000000,BHARATIYA JANATA PARTY
243,12-04-2019,PIRAMAL ENTERPRISES LTD,7003,10000000,BHARATIYA JANATA PARTY
244,12-04-2019,PIRAMAL ENTERPRISES LTD,7009,10000000,BHARATIYA JANATA PARTY
245,12-04-2019,PIRAMAL ENTERPRISES LTD,7017,10000000,BHARATIYA JANATA PARTY
246,12-04-2019,PONUGOTI HEMENDAR RAO,23643,100000,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE"
247,12-04-2019,PONUGOTI HEMENDAR RAO,23641,100000,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE"
248,12-04-2019,PONUGOTI HEMENDAR RAO,23645,100000,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE"
249,12-04-2019,RENUKA INVESTMENTS AND FINANCE LTD,7065,10000000,BHARATIYA JANATA PARTY
250,12-04-2019,RENUKA INVESTMENTS AND FINANCE LTD,7067,10000000,BHARATIYA JANATA PARTY
251,12-04-2019,RENUKA INVESTMENTS AND FINANCE LTD,7063,10000000,BHARATIYA JANATA PARTY
252,12-04-2019,RENUKA INVESTMENTS AND FINANCE LTD,7069,10000000,BHARATIYA JANATA PARTY
253,12-04-2019,RENUKA INVESTMENTS AND FINANCE LTD,7071,10000000,BHARATIYA JANATA PARTY
254,12-04-2019,RENUKESHWAR INVESTMENTS PVT LTD,7058,10000000,BHARATIYA JANATA PARTY
255,12-04-2019,RENUKESHWAR INVESTMENTS PVT LTD,7056,10000000,BHARATIYA JANATA PARTY
256,12-04-2019,RENUKESHWAR INVESTMENTS PVT LTD,7054,10000000,BHARATIYA JANATA PARTY
257,12-04-2019,RENUKESHWAR INVESTMENTS PVT LTD,7062,10000000,BHARATIYA JANATA PARTY
258,12-04-2019,RENUKESHWAR INVESTMENTS PVT LTD,7060,10000000,BHARATIYA JANATA PARTY
259,12-04-2019,SHIVAM TRANSCON PRIVATE LIMITED,2351,1000000,BHARATIYA JANATA PARTY
260,12-04-2019,SHIVAM TRANSCON PRIVATE LIMITED,2353,1000000,BHARATIYA JANATA PARTY
